county,total_EV_count,BEV_count,PHEV_count,avg_model_year,avg_electric_range,avg_vehicle_age,percent_BEV,percent_PHEV,BEV_to_PHEV_ratio,median_income_2025,total_chargers,level1_chargers,level2_chargers,dc_fast_chargers,fast_charger_share,chargers_per_1000_EV,total_EV_count_log,BEV_count_log,PHEV_count_log,total_chargers_log,level1_chargers_log,level2_chargers_log,dc_fast_chargers_log,chargers_per_1000_EV_log
ADAMS,-0.3040282577168971,-0.29378542580663164,-0.34327465138704605,0.3511462559693618,0.321535491462521,-0.3511462559696583,0.1670542107531883,-0.16449442532654945,-0.05672635350887677,-0.9434165865660651,-0.28426530486535084,-0.18534580717780674,-0.2830089848366262,-0.28163144564826514,2.7013896404915374,1.0167336261777296,-1.1142163173674815,-1.0565570085371951,-1.189831617733941,-0.6501994541072613,-0.3540295275505272,-1.817485597666686,0.2514855809109314,1.5343549139283645
ASOTIN,-0.30340322085531723,-0.29363738392701116,-0.34077880660626775,-0.3351874793322667,-0.7968515316296092,0.33518747933169635,-0.5878848332179992,0.5896883389710954,-0.825894131744864,-0.5310974979671731,-0.30232124442520214,-0.18534580717780674,-0.27712710345712793,-0.4630124317446707,-0.8492102759656434,-0.3698065738911774,-1.0478301979491067,-1.0385300077203117,-1.017390968883485,-1.403684929884112,-0.3540295275505272,-1.1460739991455549,-1.0991622993947492,-0.3579007000522228
BENTON,-0.15110951710436712,-0.16265515384634402,-0.10528046619529617,0.10290677702691782,0.09775040338690823,-0.10290677702768146,-0.03346570534138014,0.03582461476631546,-0.29191821791823314,0.7698520351300919,-0.19140618712897287,-0.18534580717780674,-0.19478076414415277,-0.16071078825066137,0.33432302952008347,-0.4680774144214711,0.6497231284431767,0.6262349527918416,0.7105603745207674,0.3048563874945742,-0.3540295275505272,0.2811791105714436,0.5271798028131883,-0.6883722746184746
CHELAN,-0.23878829907599122,-0.22892566584115,-0.27674158366931223,0.6934730690320469,1.3064268407879132,-0.6934730690333414,1.1611811029902097,-1.1576254252891878,1.6728371502898276,0.03546915713501975,-0.10112648932971649,0.2835289915206449,-0.12713912827992319,0.0811305265445461,0.34911719583865525,0.24314560115887843,0.24964735081852338,0.3078194211235852,0.08053474972864638,0.6589573491950312,2.3630722392180625,0.6203627522966628,0.8554386281049606,0.7977960904997524
CLALLAM,-0.23470472491366925,-0.23584009245401152,-0.22949148110718057,-1.035965219649235,-0.557641602200817,1.035965219648646,-0.2158617309312723,0.21803792042962522,-0.484568584819859,-0.3684381610838648,-0.13207952857517583,-0.18534580717780674,-0.15066665379791608,0.0005167549461436039,0.3517279310713443,0.05649175639969552,0.27763235355035165,0.25779137113481704,0.34079595462192036,0.5586096855724644,-0.3540295275505272,0.5223701154869963,0.7650170885971028,0.537892987452489
CLARK,0.3956032808655492,0.34334328235052874,0.5996076412746517,0.5112230164694064,-0.03392898797207257,-0.5112230164705178,0.45146266444522115,-0.4486179655090358,0.3277038907732714,1.3911438414105828,0.19034796356502556,-0.18534580717780674,0.10519518621025674,0.7663475851309672,0.2730000603239319,-0.4779894501304435,1.3849859863226217,1.3605976510311137,1.4173659061945225,1.205565210150581,-0.3540295275505272,1.171227672131548,1.321727736703585,-0.7266806293345257
COLUMBIA,-0.30726455968907745,-0.2965198464066801,-0.34847147887578994,0.20491287969957703,1.9078760501913405,-0.20491287970012687,1.14394767080778,-1.1404092571422721,1.6310874569649165,-0.8426470640901039,-0.2868447248024725,-0.18534580717780674,-0.26242240000838235,-0.44285898884507013,-0.40538528640849575,5.452997929900911,-1.794996378931321,-1.6568090644105398,-2.0749410223431353,-0.7161375035243975,-0.3540295275505272,-0.5466449344668194,-0.6925767738427647,3.1904769228579926
COWLITZ,-0.2470873996269687,-0.24379952057007626,-0.2592022908948017,0.40148242006968976,0.07111558996510763,-0.40148242007040313,0.15055836848819446,-0.14801510819732996,-0.07709691218657001,-0.18241678552969565,-0.23525632606004027,-0.18534580717780674,-0.25654051862888416,-0.08009701665225889,1.5601253816303007,-0.3273706959334189,0.18732227561343462,0.19274573263938496,0.19283349572657388,0.016131274747208487,-0.3540295275505272,-0.4102718299303775,0.6580711064629157,-0.23691729403113287
DOUGLAS,-0.28308952285397065,-0.27395652228335,-0.3188632380517624,0.08966273058694452,0.4787834929359925,-0.08966273058821729,0.6835665407982955,-0.75710464407111,0.7970306544206838,-0.3026509735958476,-0.2894241447395941,-0.18534580717780674,-0.2653633406981315,-0.44285898884507013,-0.3419817164717606,-0.4754251593960859,-0.24733604337959564,-0.19494945734542338,-0.3686491851153113,-0.7898499713983533,-0.3540295275505272,-0.6282520006716542,-0.6925767738427647,-0.7166653071417075
FERRY,-0.30618116246233895,-0.29550096994105696,-0.34713808234907273,0.5289686808068286,2.4103117534376404,-0.5289686808072821,0.9351868766043328,-0.9318575944528843,1.167709350322283,-1.3705396858632373,-0.30748008429944534,-0.18534580717780674,-0.2830089848366262,-0.4630124317446707,-0.8492102759656434,-0.703653146334953,-1.4534218612922187,-1.3398898753761037,-1.6769672378482303,-2.091232356243826,-0.3540295275505272,-1.817485597666686,-1.0991622993947492,-2.165150089489322
