county,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
ADAMS,-1.8334433134826629,2.4016094595961897,2.1385654903765006,1.932900956714914,-0.4460245061899628,-0.5787597265467979,0.0019076072554498771,-0.7678560328852782,-0.1819780431584554,-0.10953032352812905,0.12337371558126403,-0.12406819321414055,-0.0002679685904248243,0.001213915453787773,-0.0005885892261290407,1.7718912228020826e-13
ASOTIN,-3.126324085006948,0.05201995604120618,-0.8447819057092822,-0.5159336590836698,0.11605749495121913,-0.13896504603760396,0.04341389154874779,-0.19770665401632614,-0.3572668714093758,-0.4750100141534549,-0.10851873784979933,-0.004284579249837822,0.006639623954215369,-0.001033567462932931,0.0005900364315859268,6.515129649606058e-14
BENTON,1.08643883695601,-0.8077012563461003,0.2285057264843726,-0.3395279046337345,-0.9503955788244256,-0.3097693744585241,0.24069114874892106,-0.1409213249318434,0.32542501451903205,-0.054582637329131635,-0.05640800033363153,0.04271215173202146,0.0019238531420113939,-0.00013533514988203196,-0.0007318808147387895,-1.605219526405544e-13
CHELAN,2.8340571614335377,1.7619893320286106,-0.007680503249890309,0.9520520314711902,1.822832612678318,-0.8199760783356662,-0.36359124179156543,0.10487896439325371,-0.16093289125322413,0.05218882539495149,-0.01953742112838019,0.057214052182279644,0.004284030446153791,0.0013652254917365485,0.0009524426142779467,-3.2195351044253763e-13
CLALLAM,0.007377009756440666,-1.4669951349236388,0.7734030118875345,0.98516145058655,-0.01877398269958969,0.8419267733359884,-0.35713612637136716,0.39605381134404033,0.3656246850632215,-0.2026794200743689,-0.03364368234665952,-0.002833073570796017,-0.0014036169051150167,-0.000397796167238852,0.0004092676973164048,-8.736009173738495e-14
CLARK,3.260297994102578,-1.1004882997246315,0.5342908584219471,-0.6237833176731157,-1.1658712989435143,-0.02847517981667728,0.3095575959221756,0.2632864533700976,-0.02644058628013021,-0.09413927364699279,-0.0015138060927048947,-0.004877370151098688,0.0010579471201593398,0.0008412755730273428,-0.00044132123910631846,-2.0283610037396181e-13
COLUMBIA,-1.2714471906766143,4.367429661320469,-0.5190344419973603,1.9448073005467803,1.6016590461446418,1.717779078036896,1.0276794475071347,0.6428431352028553,-0.051112296356403804,-0.006366654565030709,-0.07219471848367118,0.012993161121610974,0.00039448597951753276,-0.0010370932096726787,-0.002287895028578152,-5.193794013053189e-14
COWLITZ,0.357752865395355,0.4187066256354019,1.187300407230987,0.4135017296898616,-1.086050608503325,-0.6900385941517614,-0.34745103148513906,-0.26003893171622205,0.02427034463484941,0.002376701084797145,0.06729021131214591,0.06807523902916086,0.005077492617993094,-0.0007399719599989473,-0.000793454059840015,-2.7855885904292346e-13
DOUGLAS,-0.31974109216225044,1.2472412719004418,-1.42793196809894,0.1006950074987841,-0.6466292516112733,-0.15168043610989607,-0.42599919767227673,-0.05313380087072748,-0.40119722070187447,-0.008380513387809516,-0.0710206348844209,0.0371855602928303,-0.044490075903378404,0.0004445847165795611,3.9879872066785764e-05,7.117656403332511e-14
FERRY,-1.9944350148747785,3.632004789188782,-3.1559887503562205,0.05145154004988729,-0.9958194613834193,-1.775892869194963,-0.7517708981980685,0.6809895445108402,0.425397335047572,0.027384614639184585,0.05037869804895349,-0.04793486529722052,0.0037446267105454498,-0.00248903833563566,0.0003950441349743029,-5.7761863490622e-14
FRANKLIN,0.2971042578534253,0.7038165352204376,0.49761889235812146,0.5568032448711964,-0.8789595784561416,-0.4686118135734982,-0.13777937616807684,-0.15321263733427617,0.20050878550644527,0.0050559071423489236,0.0402570524259394,0.09320021200855153,0.004469257847060136,-6.667751864837597e-05,-0.00022682445779776978,2.857137665252686e-13
GARFIELD,-8.859358951394388,-5.225520647343862,-1.12532889898421,0.9826768911404117,0.5972622106289195,-1.6972737180805237,0.7332580859087141,0.8877843837194733,-0.19411692869774697,0.15516834862407092,0.1165632277871425,0.0068621090550209,-0.0017843725297480666,0.00103303147750109,-0.0005262333024416719,9.741868451968335e-15
GRANT,-0.012183303000071321,0.621682824494013,1.8320157458568818,0.053252323727435304,-0.5830909778940984,-0.35222005422009034,-0.3107303512521023,-0.03404493267375384,-0.053538515587741684,-0.05254944387572111,0.09784167620414691,0.06854169891198805,0.003694580358925811,-0.001166861876197785,-0.0003661327752735829,4.951509170099873e-13
GRAYS HARBOR,-0.7820774090719604,-0.9137827087495076,1.4964848912922921,0.3866016777394617,0.16133035070046378,0.6876871716184154,-0.8449068643943497,0.47547776178215984,0.11978929735316748,-0.1154721638925078,-0.028175396736940868,0.012850576157082821,0.001307839759141978,-0.0006233114255821847,9.664116237157929e-05,1.4256532835227368e-13
ISLAND,0.329794890463708,-0.7296328858004886,-1.841875147644952,-0.5867695253735324,-0.8001229120940759,0.170736026316747,-0.08448006742172504,-0.6277300644540165,0.23613004991355488,0.28324089898892285,-0.06675106794893208,-0.002473906310208502,0.003149729469687537,0.0016979908872502669,-0.0014635292208535215,-2.3943446314028028e-14
JEFFERSON,-0.6797391297267895,-1.5594751471590658,-2.179539039230561,0.7196316962014683,-0.48857496050724414,0.6693544729570734,-0.355019886056851,-0.49633097896350203,0.11919917302781509,0.003940653494537611,-0.057877319698880825,-0.014186590274253126,0.0036157795327260967,0.0006264831632986758,-0.0006041108192962603,4.018159831065396e-13
KING,8.139872026284273,-1.5663277005016667,-0.505991288363371,0.14530270467610498,3.0561972792465175,-1.806422428808955,0.1606330934937168,-0.26620481078925334,0.07129657907180398,0.0017063077945414886,-0.03489276167638357,-0.02358483218170797,-0.002747660713958659,-0.0012490394144778025,-0.0003476082936207517,2.010534184794679e-13
KITSAP,2.4567571808554067,-1.5436515603929122,-1.2042016883570321,-0.42117543283542885,-0.7472078976172687,0.7394394001602737,0.8820619264621089,-0.3802633041344572,-0.27565778839709737,0.0205193003008892,0.16946593725295309,0.0019584912462856665,1.1431848280883966e-05,-0.0016802414875537672,0.00043327596733362916,-3.303741896301022e-13
KITTITAS,1.8182342381232368,2.918863124081544,1.2470100199502054,1.1280816614285438,-0.8371600152721418,-0.4747695871670409,0.2573142444535507,0.18440743379871558,-0.011072312958500195,0.3539024677145131,0.04276924181404289,-0.012923086159828944,0.0017624497598384445,0.0018239266092918752,0.0011962135154538834,6.234911127286577e-15
KLICKITAT,-1.2090071594389245,0.6679785747596155,-0.8486488963346749,-0.8989241846956578,-0.004054075408431192,0.2512900229994128,-0.15452053777736485,-0.18099135234984576,0.07264444730160521,0.06833343669608248,0.007492493196368754,-0.00936277411987341,0.0017721364236656797,0.0010576437235600207,-0.00019867000174606932,6.916509669236761e-14
LEWIS,-0.7225775921017794,-1.135178053646335,2.807566357609905,0.4137507868678011,-0.6150259578580928,-0.5538481202470403,0.1751112991648783,-0.38391028001872424,0.1236786850131885,0.01181547782427196,-0.04295182300531085,-0.045739916445917884,-0.011598861146712741,-0.0026054926089937526,-0.00025601773777157456,-3.5542299365283256e-13
LINCOLN,-4.225926791753979,-0.7594974401703809,3.53535712507531,1.3071720568933152,0.5280032520227119,-0.15208748455684343,0.15371457517508202,-0.5021573825560983,-0.16056916370851487,0.15955883259545608,-0.15528551133859955,0.023333703772970435,0.0035992121425887824,-0.00025094213197239144,0.0007302729742564922,-4.8421691925997964e-14
MASON,-0.46079158318982166,-0.7065496340231757,-1.189958996122532,-0.5406737762623809,-0.21889795947405596,0.5798481523440446,-0.0382622570166109,-0.4390323867476924,0.053454347086621966,0.15220576300318905,0.08488143472029046,0.004880639643462637,0.0010513946459261704,-0.0010301909551301118,-0.00032196549866676154,-8.398434124860633e-14
OKANOGAN,-1.1880578226450478,1.276071383750445,0.19473595229568127,-1.5539251389389863,1.468653063845811,0.08651300503043548,-0.8791568986287212,-0.14110665671708106,0.06335099541679162,0.24518558194064424,0.09685587276561047,0.0023747200288922778,0.00011843085999529032,0.0007872691827861432,-0.0006705335834470581,-1.9234083907724092e-13
PACIFIC,-2.650575454080776,-0.5411441981394284,0.7398720219424586,-1.9406248604643066,0.6579397840720849,0.32029510923293464,0.09022712629137113,-0.11738041657502303,-0.009513872560936143,0.3277614055618887,-0.11150981852717558,-0.0055438709943630505,0.0010957575325700839,-0.00033121737601258703,0.0006172266058569899,2.8593636439772823e-13
PEND OREILLE,-2.1252390205161817,2.52531595490256,-0.38999552528076875,-1.76856922458436,0.07391216308511507,-0.46896704119894317,0.024322929985710052,0.012400440178190954,-0.6540381575981933,-0.35787998920409286,0.027096597464473286,0.006210212237566196,0.007384797473515982,0.0009146895061453328,-0.00012155865418851428,3.619222959585092e-14
PIERCE,4.088378017996395,-1.3290877443153868,0.14655928196496854,-0.6742012444954276,0.5321648064123946,-0.5384585557897867,-0.04237301969910809,-0.019500254594626086,-0.016729758560779028,-0.15838836422248403,0.02424503972404084,-0.01538872044443191,-0.000532645451704003,0.0011713827101566883,-0.0007522179046588015,-5.783128420818407e-14
SAN JUAN,0.18092261656099473,-1.5807267771751752,-3.353856821993039,2.8053496864032055,0.6018367133611289,0.9506592686746,-0.6438937117556571,-0.5195892765673719,-0.20634640803495777,0.013114801844310795,0.013613784749159738,0.002857200852374266,0.00558781668212555,-0.000520207746609588,0.0010630912489122846,-1.4446058828751584e-13
SKAGIT,2.0442551558065696,-0.32670409235747144,0.23124415917942373,0.5733883807991126,0.10933877182595005,0.12774105920461362,0.35847208268622527,0.14515269295821515,0.22553782495166216,-0.20356881137086047,0.0320981261427496,0.021373975037807344,-0.001260991662276129,0.0009370684614135813,0.0007440264094382951,1.8383152993733945e-13
SKAMANIA,-0.5727900402414279,1.599860698976764,-0.9774027102757115,-0.7160971078570965,0.17369908785074226,0.3554978502064967,1.1589819276214126,-0.37894627435249284,-0.0018589976510284788,-0.07627374111266684,0.113431677707969,0.027644174129927937,-0.0006244544667717308,0.0004909450451209997,0.0011475018203359808,-9.474231244400393e-14
SNOHOMISH,5.2062234828027165,0.1323646151805505,-0.391279485898542,-0.19610731026966907,-1.5755656821839852,-0.1496876900923522,0.4226197990947897,0.6577063694265051,-0.6562234930443074,0.40060438456735015,-0.1648104140098786,-0.025253908292712658,0.00824313664769716,-0.0010143992778392913,0.00022905465752503512,1.6121054198484114e-13
